Word,TD-IDF Value
amazing,59.37137267592555
make,59.30502972032729
range,58.993781537779554
super,58.59115376675002
react,58.53681392553687
driven,58.368454243224136
firm,58.07281589028645
critical,57.892592952994654
known,57.85345789433687
bank,57.5593494524828
insurance,56.608303658936315
want,56.38086105740215
windows,56.21971264855172
sector,56.08811387173102
developing,55.97702729373214
telecommunications,55.75483757325168
managing,55.30921145158745
people,55.036077980906704
fintech,55.02105289862129
north,54.81646520193829
coordinator,54.23980169404397
cutting,54.13307312310531
national,54.07859085177566
strategic,54.065476637221565
junior,54.03285607943936
implement,52.84741827887262
perth,52.81696166492408
processes,52.581208695986746
requirements,52.555233715550116
javascript,52.40994629375462
space,52.37502368103477
salary,52.359916982827926
june,52.13263485067821
tier,52.11285290270514
training,52.04125203757455
finance,51.99728383008177
located,51.89677350334389
python,51.66191624866533
paced,51.657892646289056
analysts,51.62549009520273
need,51.56531541579278
possible,51.21595323624787
expert,51.18603695580318
risk,51.17862616342058
latest,50.657590547138575
greenfield,50.43115457646942
practice,49.79459244919565
life,49.62587598344159
year,49.36418952534464
head,49.355605760489226
linux,49.23390250316393
angular,49.21191675483476
passion,49.11304501929659
rate,49.08155953717371
variety,49.06279642713944
baseline,49.05070323481265
cisco,48.51331514472753
motivated,48.47687272813395
managed,48.418104132266166
php,48.21504835631918
ux,47.74287332015649
rates,47.642670512250746
server,47.4448202781253
desktop,47.41194361873567
maintain,47.316853613207016
small,47.098782472192624
